N,P,K,temperature,humidity,ph,rainfall,crop_yield,label
14.95,64.6,26.88,23.9,61.37,6.64,49.33,1.03,lentil
105.34,93.94,46.87,29.96,76.7,6.3,121.35,25.43,banana
78.6,42.34,39.83,22.85,63.76,7.28,87.36,3.57,wheat
109.9,39.56,19.1,20.94,77.65,6.98,106.77,1.92,cotton
20.03,127.77,180.31,23.48,83.63,6.45,81.87,11.29,grapes
10.5,76.44,24.26,24.19,63.87,7.02,68.89,0.95,lentil
70.77,36.74,47.97,20.52,57.22,6.67,102.51,3.63,wheat
14.49,32.18,19.38,28.03,54.09,6.67,49.99,0.97,mothbeans
96.79,14.57,44.27,28.17,90.8,6.22,35.79,19.61,muskmelon
8.22,34.87,35.43,32.34,59.54,5.91,132.75,5.34,mango
87.37,72.16,50.86,26.0,78.29,6.21,119.66,36.89,banana
118.81,64.73,20.76,23.57,74.5,6.47,65.13,1.54,cotton
103.87,23.71,57.96,26.84,88.38,6.67,55.07,30.56,watermelon
44.55,75.69,20.67,24.01,62.5,7.46,56.89,0.67,blackgram
23.4,52.83,16.54,26.68,50.13,6.96,62.34,0.82,mothbeans
30.54,74.97,15.51,29.25,63.1,6.72,66.48,0.79,blackgram
24.58,131.52,203.77,23.36,74.42,6.0,94.25,10.35,grapes
22.4,40.02,18.97,25.94,90.11,6.45,54.52,0.73,mungbean
21.41,49.94,25.06,19.68,29.73,6.39,102.28,1.47,kidneybeans
59.64,74.1,52.65,34.52,81.33,7.33,130.61,16.27,papaya
95.51,20.61,51.74,28.82,83.43,6.9,48.34,20.14,watermelon
52.62,74.88,85.95,17.09,14.33,7.49,98.14,2.24,chickpea
50.72,51.6,53.62,33.57,95.1,7.06,137.75,16.48,papaya
45.58,75.02,46.48,30.58,88.19,7.01,103.7,16.95,papaya
104.96,13.2,40.25,27.79,81.85,6.03,59.71,31.98,watermelon
105.14,24.69,53.27,27.15,84.86,6.03,28.62,18.22,muskmelon
17.72,25.23,40.83,34.16,55.12,6.55,75.02,5.03,mango
18.75,124.71,192.77,23.49,86.33,6.42,57.43,9.89,grapes
21.63,19.01,23.32,30.7,95.54,6.04,173.57,55.19,coconut
68.19,53.61,42.24,25.75,83.91,6.57,165.53,2.9,jute
25.44,63.99,20.09,17.66,25.09,6.27,107.35,1.81,kidneybeans
28.79,127.21,200.49,22.08,93.32,5.46,115.22,7.15,apple
11.92,65.16,18.76,28.25,49.23,5.89,163.07,1.85,pigeonpeas
113.1,53.26,25.04,22.45,75.62,7.11,82.28,1.59,cotton
15.67,15.73,31.39,26.48,95.94,6.15,201.07,71.86,coconut
74.86,36.53,41.5,24.91,77.07,6.65,184.09,3.87,rice
43.18,61.02,17.6,26.19,64.46,7.43,79.28,0.91,blackgram
21.95,16.48,43.02,23.8,83.96,6.23,108.49,10.31,pomegranate
20.04,50.31,20.8,24.43,18.92,5.48,110.6,1.59,kidneybeans
23.32,62.58,25.01,19.0,17.65,5.47,78.43,1.64,kidneybeans
29.56,15.49,25.12,28.52,91.77,5.88,165.89,46.83,coconut
90.11,99.93,53.81,26.69,87.08,6.45,102.09,31.74,banana
17.0,69.51,17.42,24.63,67.2,7.15,58.83,1.32,lentil
26.45,144.45,184.93,25.2,84.72,5.71,122.58,8.29,apple
20.73,62.09,20.7,23.18,22.09,5.36,103.33,1.26,kidneybeans
95.96,22.23,45.43,30.52,92.42,6.36,44.97,19.93,watermelon
15.77,46.79,16.88,29.49,53.16,7.01,62.88,1.04,mothbeans
24.37,125.99,216.04,22.58,78.06,6.17,99.45,12.84,grapes
18.95,60.27,20.1,23.3,66.62,7.07,58.09,1.3,lentil
21.39,17.08,30.54,25.78,93.77,5.98,178.76,40.22,coconut
59.57,46.09,61.94,32.24,86.26,6.63,126.94,21.76,papaya
34.24,57.99,18.79,26.05,69.73,7.12,75.34,0.63,blackgram
29.5,17.36,8.92,21.5,92.2,6.66,94.66,8.65,orange
24.53,16.84,7.6,22.91,89.99,7.22,139.67,6.18,orange
32.36,15.87,9.36,23.73,90.23,7.03,138.19,14.06,orange
20.14,52.11,19.68,25.1,53.38,7.11,51.71,1.06,mothbeans
89.24,55.58,16.14,22.22,60.14,5.79,60.6,6.36,maize
16.31,25.11,15.46,22.94,97.69,6.33,94.25,12.59,orange
58.46,46.64,54.16,32.97,94.83,6.55,124.55,20.56,papaya
16.93,61.32,24.89,17.26,24.83,5.95,121.36,1.36,kidneybeans
73.73,59.5,47.66,21.88,85.16,6.79,218.65,3.24,rice
18.08,164.41,184.48,24.3,89.07,6.05,126.09,12.26,apple
115.9,38.26,20.95,26.15,74.92,7.28,81.7,1.87,cotton
22.14,52.09,15.89,25.56,50.15,6.76,41.36,0.9,mothbeans
23.33,82.53,15.61,19.24,20.69,5.89,101.76,1.24,kidneybeans
13.13,71.16,29.34,27.84,50.38,5.7,117.58,1.61,pigeonpeas
113.46,29.55,26.28,27.1,64.15,6.4,196.32,1.61,coffee
21.69,42.26,24.88,28.0,89.43,6.05,53.47,0.67,mungbean
48.23,65.03,55.47,29.14,99.36,6.27,167.93,13.93,papaya
16.46,14.95,52.93,21.84,93.07,6.74,81.57,10.63,pomegranate
30.43,58.88,18.19,20.83,19.84,5.41,121.83,2.2,kidneybeans
22.51,47.05,15.17,23.26,18.25,5.35,102.03,2.12,kidneybeans
44.56,41.74,43.49,31.29,97.95,6.76,153.61,24.72,papaya
68.3,43.37,45.87,24.87,65.44,7.24,62.87,3.1,wheat
105.24,19.42,46.52,25.01,92.04,6.3,16.03,10.65,muskmelon
21.28,138.35,186.57,20.49,94.44,6.62,133.07,12.53,apple
14.54,73.68,24.57,16.91,24.77,5.87,125.99,1.1,kidneybeans
14.65,23.08,33.44,30.3,57.95,6.35,85.27,6.49,mango
10.84,57.17,9.62,19.83,19.55,5.6,89.36,1.15,kidneybeans
81.64,48.77,42.88,26.62,78.36,7.01,147.89,2.5,jute
13.02,71.73,16.38,19.61,18.64,5.46,104.89,1.44,kidneybeans
35.17,65.16,65.88,17.22,19.99,7.06,94.61,1.74,chickpea
20.0,153.89,190.16,22.47,93.23,5.56,107.28,10.32,apple
25.53,62.49,15.92,20.16,22.58,5.74,81.35,1.26,kidneybeans
91.61,11.76,46.9,29.51,100.0,6.43,34.35,14.26,muskmelon
21.66,136.48,205.31,24.81,80.06,6.31,59.66,8.47,grapes
20.77,47.91,20.31,26.14,52.05,6.35,65.63,0.84,mothbeans
20.28,15.11,46.33,19.06,89.43,6.23,90.25,9.11,pomegranate
82.4,54.23,22.29,26.02,64.97,6.4,53.62,5.11,maize
16.66,17.44,11.25,22.16,92.89,6.95,129.92,16.21,orange
24.25,130.57,215.18,20.0,85.74,6.48,99.84,7.38,apple
54.37,42.77,46.56,18.24,66.47,6.39,87.0,3.18,wheat
10.33,55.23,20.68,22.53,70.28,7.19,53.19,1.66,lentil
28.77,133.94,200.04,23.36,76.65,5.94,70.05,11.51,grapes
105.84,78.52,38.73,27.55,72.54,6.29,101.76,35.98,banana
90.51,11.77,48.77,25.27,89.53,6.62,49.3,21.01,watermelon
25.06,89.34,19.46,25.58,56.1,7.35,53.76,1.2,lentil
18.23,17.5,38.92,23.29,90.75,6.61,130.63,8.58,pomegranate
27.88,69.57,93.04,18.04,17.68,7.41,65.96,2.31,chickpea
17.78,25.65,38.06,33.84,54.67,6.31,72.65,6.45,mango
21.94,54.31,19.88,24.9,64.63,6.66,56.16,1.22,lentil
20.79,132.14,180.27,23.57,88.74,5.87,142.6,11.02,apple
82.9,61.6,48.97,22.35,88.01,6.38,138.86,3.69,rice
45.07,63.9,9.33,28.7,53.16,7.21,54.31,0.72,blackgram
23.5,33.46,19.15,26.37,57.14,7.12,31.26,0.9,mothbeans
22.95,64.96,16.71,24.95,59.68,7.21,35.44,1.09,lentil
101.01,31.54,19.72,25.58,75.64,7.4,91.02,1.53,cotton
23.03,17.79,36.52,31.41,49.74,6.28,88.1,6.77,mango
27.31,70.59,24.81,26.53,52.75,5.78,129.98,1.3,pigeonpeas
50.7,60.92,47.57,30.27,98.19,7.09,122.9,19.38,papaya
29.83,57.78,23.84,29.8,70.25,7.2,71.14,0.44,blackgram
16.57,141.76,183.92,21.27,76.59,6.02,100.12,12.22,apple
24.77,56.75,31.01,27.29,86.55,6.58,49.02,1.11,mungbean
16.72,20.72,32.59,28.26,91.46,6.15,198.8,48.31,coconut
73.09,48.4,31.55,24.64,87.01,6.83,178.26,2.61,jute
15.94,84.0,5.13,23.64,73.63,6.94,53.53,1.32,lentil
86.73,50.35,36.06,21.83,67.79,6.82,88.08,2.74,wheat
21.6,127.61,213.73,21.14,85.35,5.67,106.03,11.99,apple
80.96,47.28,36.42,28.18,81.79,6.58,155.15,2.46,jute
17.09,14.15,12.12,23.92,91.51,6.98,119.29,15.7,orange
95.76,75.88,55.87,23.92,82.82,6.11,87.41,25.9,banana
21.26,12.59,26.66,35.96,99.09,6.16,160.42,70.7,coconut
22.03,112.22,200.39,23.14,85.19,5.89,63.47,8.3,grapes
16.34,82.12,20.25,21.54,18.18,5.81,109.67,0.93,kidneybeans
45.55,50.78,14.57,28.33,68.52,7.85,65.58,0.49,blackgram
81.2,49.12,47.69,20.75,74.33,6.88,209.97,3.9,rice
16.45,21.56,24.31,25.69,87.88,5.49,215.78,60.43,coconut
14.4,14.11,15.29,21.49,77.92,6.94,112.7,6.15,orange
15.71,24.27,32.81,30.68,49.62,6.59,81.07,8.74,mango
18.8,125.24,191.42,24.63,76.09,5.91,43.16,14.52,grapes
78.89,49.58,16.91,20.05,68.08,6.56,67.91,5.05,maize
13.1,136.04,196.26,25.36,96.64,5.71,120.46,10.34,apple
17.04,21.55,8.1,24.81,94.21,6.46,95.04,8.65,orange
71.4,41.92,50.05,21.85,86.18,6.16,215.89,5.65,rice
21.71,146.57,212.72,22.08,92.65,5.45,101.87,11.03,apple
20.56,9.06,17.33,21.06,95.73,6.99,93.94,11.23,orange
70.86,50.36,32.24,24.62,81.62,6.4,142.21,2.75,jute
21.51,68.4,10.78,18.22,19.81,5.86,72.06,1.45,kidneybeans
84.59,55.5,11.96,18.71,61.15,5.92,82.44,5.31,maize
107.6,5.93,71.72,30.0,83.69,6.5,53.03,22.05,watermelon
68.73,49.91,24.88,22.5,65.95,6.5,29.45,6.18,maize
98.16,81.08,38.14,29.3,79.49,5.91,113.01,26.06,banana
18.49,46.17,18.19,19.87,16.97,5.55,127.95,1.7,kidneybeans
21.66,137.62,198.78,20.84,82.18,5.73,93.55,10.93,apple
27.75,71.11,83.58,17.88,20.37,7.1,93.47,1.49,chickpea
21.14,52.14,23.02,20.6,21.92,6.02,110.51,1.54,kidneybeans
85.5,16.2,48.11,30.1,93.55,6.78,34.58,13.63,muskmelon
87.07,42.91,37.34,26.43,83.66,6.94,167.62,2.81,jute
17.72,10.58,10.21,20.36,86.72,6.78,159.71,14.41,orange
27.93,19.82,15.83,22.11,93.44,6.92,104.26,10.87,orange
91.68,47.04,44.7,22.18,79.56,6.37,211.83,4.16,rice
24.59,136.23,199.16,19.2,100.0,5.75,123.67,7.09,apple
18.32,26.32,23.85,29.76,59.06,6.37,45.18,7.96,mango
58.78,59.5,34.96,27.61,92.81,6.96,104.56,21.8,papaya
20.59,130.33,201.78,23.26,87.48,5.66,125.99,6.59,apple
37.32,69.74,91.43,19.71,18.24,7.34,85.65,1.97,chickpea
53.81,73.9,48.3,32.23,95.05,6.6,190.46,20.77,papaya
19.3,69.46,17.38,22.7,21.27,5.71,83.46,1.11,kidneybeans
35.36,68.92,83.0,18.94,17.23,7.42,92.23,1.43,chickpea
19.06,136.23,220.44,21.39,92.85,6.12,124.08,8.77,apple
21.73,26.69,35.21,31.7,50.61,6.29,93.13,6.51,mango
111.95,33.66,34.53,25.09,54.42,6.86,181.56,1.81,coffee
18.65,78.96,12.44,24.79,60.99,6.75,37.97,1.15,lentil
24.6,118.85,214.92,21.93,81.25,5.7,69.81,11.18,grapes
74.12,57.8,58.31,29.29,96.98,7.26,143.49,15.96,papaya
19.72,21.08,50.97,22.91,89.72,6.13,98.71,7.11,pomegranate
87.53,50.3,16.94,22.08,59.28,6.23,69.5,5.29,maize
26.61,15.81,10.55,18.42,88.23,6.91,114.16,12.8,orange
13.22,68.79,22.76,28.36,39.32,5.47,131.43,1.23,pigeonpeas
42.59,57.82,79.68,12.02,16.44,6.71,103.09,2.03,chickpea
76.57,42.03,30.74,21.44,76.45,7.03,228.07,5.52,rice
119.07,51.08,18.86,23.94,79.43,6.84,54.7,1.57,cotton
103.02,26.01,26.08,27.68,47.78,7.06,142.49,1.27,coffee
77.42,49.39,50.11,26.68,65.16,6.57,86.9,2.86,wheat
16.95,71.04,12.18,24.64,56.18,5.6,178.07,1.18,pigeonpeas
81.82,46.99,38.33,21.3,86.15,6.24,202.15,4.12,rice
46.87,65.12,79.31,15.1,16.1,7.18,124.31,1.47,chickpea
56.21,41.15,40.77,27.38,62.41,6.87,79.75,3.79,wheat
20.45,17.87,44.15,19.19,81.1,6.24,94.67,7.88,pomegranate
25.97,57.99,15.74,28.95,56.16,6.66,44.28,1.22,mothbeans
17.31,78.51,19.83,24.03,73.19,6.47,33.14,0.98,lentil
87.47,15.52,23.43,25.82,84.59,6.67,47.31,26.74,watermelon
84.93,36.56,37.14,23.19,72.72,6.96,162.0,2.59,jute
14.36,73.08,15.92,21.3,61.97,6.89,34.19,1.07,lentil
26.14,34.36,26.22,32.46,79.4,6.93,49.01,0.49,mungbean
58.21,53.98,14.64,21.72,75.37,5.92,32.05,5.21,maize
126.89,28.72,31.88,27.8,64.39,6.95,154.47,1.65,coffee
72.41,46.2,44.73,26.75,86.75,6.33,173.05,4.89,rice
17.05,59.52,19.11,25.17,46.91,5.8,155.97,0.93,pigeonpeas
99.57,17.3,42.71,29.98,86.22,5.97,27.94,19.81,muskmelon
33.86,29.0,23.04,26.89,50.07,6.61,42.91,1.24,mothbeans
13.92,18.33,22.13,27.3,91.76,6.27,166.18,66.07,coconut
31.26,74.12,80.37,19.11,13.47,6.93,93.96,1.52,chickpea
92.93,87.76,49.44,26.43,82.18,5.68,98.12,30.61,banana
82.76,52.04,25.3,29.28,66.96,6.05,69.62,3.73,maize
48.67,72.72,50.66,32.01,95.77,6.65,191.7,19.98,papaya
18.89,83.37,16.63,19.19,25.97,5.45,96.75,1.46,kidneybeans
41.47,88.54,81.8,15.99,16.71,6.67,83.79,1.55,chickpea
100.02,21.84,30.84,25.56,60.23,6.88,176.25,1.45,coffee
18.88,15.16,16.71,23.62,100.0,6.85,108.3,10.0,orange
21.15,11.9,26.41,26.99,100.0,6.03,156.66,61.48,coconut
21.13,32.59,24.15,30.55,41.34,6.08,95.68,5.47,mango
11.76,120.75,191.29,22.99,81.27,6.06,76.12,9.74,grapes
103.2,16.56,48.44,30.82,94.75,6.14,21.6,13.49,muskmelon
82.6,51.25,32.1,20.36,84.61,6.59,207.51,4.78,rice
71.88,50.76,56.14,24.32,82.28,6.53,150.65,2.16,jute
23.85,34.53,27.81,27.58,37.71,5.91,92.73,8.42,mango
20.48,16.5,36.72,23.54,87.51,6.49,113.27,10.19,pomegranate
29.2,63.36,12.26,27.2,67.76,6.88,64.49,0.46,blackgram
28.28,61.65,14.01,25.49,65.47,7.64,109.0,0.71,blackgram
62.21,56.97,47.23,22.89,83.4,6.16,273.37,4.6,rice
23.81,12.09,30.36,28.59,78.53,5.77,175.43,53.04,coconut
21.13,62.51,17.23,28.39,54.87,5.62,142.19,1.35,pigeonpeas
17.16,16.45,24.02,25.67,93.59,6.44,178.52,71.55,coconut
18.15,15.08,12.43,21.7,96.12,7.18,121.43,18.16,orange
21.85,76.32,18.71,23.56,65.96,6.56,44.06,1.45,lentil
79.5,35.12,23.12,24.8,58.17,6.73,62.45,2.3,wheat
21.42,41.29,10.9,26.59,46.04,7.31,50.85,0.83,mothbeans
97.65,14.13,41.17,27.52,88.87,6.75,55.74,22.51,watermelon
90.09,79.25,56.07,27.9,87.66,6.03,141.96,32.7,banana
16.83,14.7,28.43,26.29,97.61,5.81,210.85,46.82,coconut
106.73,17.65,52.77,27.33,94.48,6.74,30.64,17.43,muskmelon
29.28,63.15,21.62,23.39,37.04,5.95,148.89,1.55,pigeonpeas
87.16,56.11,41.92,27.96,81.89,6.63,174.83,2.49,jute
120.77,9.7,44.09,25.75,97.54,7.04,64.94,23.35,watermelon
20.57,64.84,20.09,22.35,68.52,6.88,43.24,1.23,lentil
51.57,63.32,16.85,26.4,62.86,7.39,88.5,0.84,blackgram
112.65,29.2,28.86,26.66,53.72,6.51,151.34,1.35,coffee
15.08,11.96,9.24,23.47,92.74,6.81,115.23,13.01,orange
87.69,51.42,16.77,26.33,59.03,6.48,85.01,4.83,maize
66.51,44.21,38.75,28.23,66.91,6.93,95.45,3.32,wheat
83.58,49.49,50.66,25.11,75.11,6.22,215.45,4.91,rice
56.01,66.92,53.57,27.6,90.29,7.39,154.36,21.47,papaya
111.49,69.41,53.26,28.16,69.7,6.14,122.53,28.44,banana
25.45,42.43,20.22,29.91,83.58,6.69,48.83,0.94,mungbean
103.27,16.59,49.22,29.62,100.0,6.38,30.24,15.99,muskmelon
75.14,42.74,32.81,13.38,64.86,7.33,104.92,2.97,wheat
80.3,51.98,23.33,22.26,69.19,6.01,61.63,4.4,maize
114.91,38.71,26.88,22.32,80.26,6.75,80.54,1.94,cotton
27.38,12.4,39.48,18.64,97.96,6.22,81.14,8.96,pomegranate
98.61,21.68,49.96,27.11,84.37,6.47,18.76,15.35,muskmelon
16.97,47.61,23.43,27.72,58.83,6.96,30.22,0.79,mothbeans
16.65,76.37,14.12,20.98,23.55,5.84,101.96,1.34,kidneybeans
87.28,50.49,41.27,22.36,68.07,6.49,76.14,2.37,wheat
15.87,47.5,20.54,25.84,52.12,6.92,55.6,1.0,mothbeans
91.04,34.7,25.16,24.38,59.55,6.08,53.41,5.29,maize
76.31,16.21,57.39,29.13,89.52,6.31,20.55,15.45,muskmelon
95.01,87.35,64.95,25.49,71.67,5.3,101.99,26.68,banana
86.1,22.01,43.88,23.41,86.19,6.42,38.9,16.59,watermelon
79.64,49.28,34.89,22.59,92.13,6.54,190.59,3.47,jute
70.57,49.15,51.7,23.52,67.69,7.12,74.53,2.78,wheat
84.93,17.58,45.16,29.26,87.57,6.07,8.83,15.51,muskmelon
96.55,14.45,43.77,29.29,93.14,6.28,35.36,16.21,muskmelon
36.85,60.9,15.2,28.21,66.91,6.71,63.04,0.69,blackgram
68.66,47.12,35.51,23.94,64.4,6.93,66.69,2.98,wheat
76.64,18.72,49.03,27.33,93.1,5.87,40.43,14.69,muskmelon
111.83,41.05,23.78,21.98,84.44,7.0,87.77,1.72,cotton
11.9,57.77,23.28,24.53,71.57,6.9,37.32,1.26,lentil
17.77,129.91,193.89,26.7,76.17,6.13,73.72,9.32,grapes
78.33,41.93,18.85,18.23,69.45,6.51,42.31,4.57,maize
21.31,51.4,18.25,22.56,55.85,5.37,174.11,1.48,pigeonpeas
22.2,57.14,19.88,25.16,90.21,6.93,29.58,0.8,mungbean
89.13,17.41,55.19,29.84,99.81,7.18,27.0,13.01,muskmelon
120.52,42.67,17.9,22.19,78.26,7.32,73.3,2.09,cotton
21.2,19.13,26.93,25.39,100.0,5.47,124.3,43.47,coconut
77.79,27.87,26.0,27.03,66.78,6.7,192.77,1.41,coffee
15.32,138.05,191.2,16.84,94.22,5.89,139.93,10.75,apple
59.55,31.27,55.39,18.69,63.89,6.72,84.61,3.61,wheat
23.11,139.64,194.12,19.23,84.46,5.76,55.57,12.0,grapes
14.37,20.42,31.91,21.69,86.85,6.18,81.07,7.3,pomegranate
18.77,67.48,19.53,22.72,64.71,7.24,47.14,1.14,lentil
94.98,5.03,43.35,26.02,91.92,6.62,41.67,30.33,watermelon
23.44,29.74,26.47,28.46,53.28,5.98,96.2,6.65,mango
121.66,41.95,18.06,24.32,78.97,7.12,87.31,1.35,cotton
102.47,89.09,38.39,25.15,86.07,6.06,92.65,36.01,banana
18.75,53.62,22.02,28.43,50.14,5.6,160.83,1.4,pigeonpeas
15.48,71.59,18.45,23.63,61.14,7.4,42.24,1.44,lentil
11.72,62.8,16.32,21.44,16.85,5.93,125.56,1.71,kidneybeans
20.88,56.31,17.94,20.26,18.64,5.63,103.63,1.48,kidneybeans
101.02,26.93,22.72,24.91,44.87,6.75,159.58,1.57,coffee
12.93,16.28,27.16,28.93,86.76,5.74,221.32,45.6,coconut
22.03,18.09,35.68,24.18,86.25,5.75,119.17,6.34,pomegranate
12.31,65.84,17.77,27.23,47.18,5.1,141.23,1.11,pigeonpeas
29.89,153.49,207.82,18.83,79.21,6.28,63.68,15.18,grapes
31.64,81.27,27.41,27.23,65.74,6.9,78.22,0.78,blackgram
84.02,93.92,66.44,30.09,78.32,5.55,83.69,21.58,banana
26.38,65.79,22.67,21.68,23.65,6.02,118.08,1.41,kidneybeans
114.54,22.48,55.88,29.84,85.27,6.69,43.19,26.46,watermelon
24.66,51.31,23.58,32.79,63.93,6.59,68.24,0.98,mothbeans
21.16,60.95,9.05,22.39,22.88,5.72,108.44,1.82,kidneybeans
91.15,24.8,55.89,28.85,90.89,7.05,32.29,18.85,watermelon
96.73,56.64,17.76,24.84,65.34,6.46,77.27,4.65,maize
90.13,48.09,38.44,22.55,58.26,6.51,98.01,2.87,wheat
91.34,36.73,31.6,25.01,61.44,6.88,156.27,1.1,coffee
76.43,57.63,42.38,24.13,64.55,7.23,69.85,4.1,wheat
84.8,57.54,11.11,21.96,62.48,6.18,75.22,5.01,maize
20.11,52.25,24.82,27.96,49.14,6.27,45.14,0.78,mothbeans
88.76,48.51,31.22,24.31,77.24,6.72,208.26,2.43,jute
19.03,21.11,5.85,20.81,87.75,6.92,111.35,15.29,orange
60.24,59.05,13.4,27.49,65.16,6.58,69.34,0.95,blackgram
27.79,54.76,28.15,26.25,47.79,5.13,139.9,0.89,pigeonpeas
96.04,46.47,23.6,17.12,60.22,6.34,92.26,5.86,maize
21.54,44.24,23.44,26.77,52.71,7.16,55.42,0.89,mothbeans
25.04,71.14,20.13,26.39,48.6,4.75,153.21,1.05,pigeonpeas
18.79,119.33,212.39,23.64,83.99,5.99,65.81,11.07,grapes
15.88,61.25,30.25,20.0,22.35,5.46,93.3,1.82,kidneybeans
19.61,29.75,37.54,34.36,42.9,6.27,109.74,7.24,mango
48.57,48.62,56.97,35.23,88.62,6.91,154.37,14.88,papaya
21.83,146.36,230.05,23.71,100.0,5.71,127.04,12.68,apple
93.63,18.87,59.73,25.56,84.35,6.64,45.64,27.32,watermelon
16.51,117.38,215.14,19.97,83.37,6.02,68.46,15.41,grapes
11.52,17.47,7.91,23.73,95.48,7.44,128.15,17.27,orange
47.3,61.0,55.44,29.53,91.68,5.7,151.18,18.8,papaya
56.53,53.99,28.48,25.21,81.67,6.8,167.92,2.64,jute
49.71,66.88,54.91,31.92,96.48,6.73,142.35,18.1,papaya
17.67,72.19,16.08,28.9,74.92,6.9,49.87,1.57,lentil
75.37,39.81,41.2,21.97,70.43,6.94,79.62,3.61,wheat
29.63,122.28,170.86,27.72,93.34,6.16,50.94,14.41,grapes
23.49,20.47,9.72,18.26,91.64,6.7,95.36,10.27,orange
104.3,45.95,24.95,27.52,78.35,6.91,113.17,2.14,cotton
18.6,59.28,22.53,18.54,26.5,6.06,108.19,1.81,kidneybeans
108.42,41.4,15.34,19.16,79.71,7.18,95.25,1.54,cotton
17.44,43.92,17.94,30.04,51.11,7.42,56.31,0.64,mothbeans
119.91,31.54,24.48,21.56,58.89,6.8,120.0,1.48,coffee
20.47,120.67,196.63,25.15,81.98,6.36,91.83,10.53,grapes
27.71,134.92,201.03,19.11,90.45,5.83,96.42,10.04,apple
23.17,17.25,30.33,21.69,87.03,5.93,191.4,57.9,coconut
